"parameter","prior","approximation","statistic","p_value","KS_x","KS_y"
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.32479221120219,-0.122827500485596
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.324962118363978,-0.0838726308610678
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.327279056346844,-0.0949486472094467
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.327483806646428,-0.0568057049391588
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.327727332078908,-0.019566314789979
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.328262526327993,0.0108765034785498
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.32859391534537,0.0460684647068176
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.330369225922207,0.0476136453737865
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.330757133519961,0.0814885902730753
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.330762527031541,0.12427701626471
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.33144632129544,0.151257103433283
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.331822586990992,0.185403332133359
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.332255525597156,0.218228948245719
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.332506301612382,0.255299382702665
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.332703640938721,0.293615018142399
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.332773049811414,0.33491173511857
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.333697859694909,0.356275589458372
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.334458739259782,0.381459407162429
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.336454792152559,0.37786077082883
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.33698753871364,0.408360626005364
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.339443023316835,0.394056146378493
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.340595586462781,0.410112812115427
